Codigo,NBI93,NBI2005
5001,16.08350839,12.32142878
5002,43.61016949,30.2623057
5004,45.56479556,11.52073733
5021,56.45639289,24.03225807
5030,31.6643631,21.59150721
5031,53.79176242,25.64653596
5034,36.82361016,21.46639825
5036,38.22586391,20.98882814
5038,59.58115183,25.57345046
5040,68.05985552,41.61036036
5042,54.55817569,29.85171226
5044,70.14696877,30.33707865
5045,51.37974589,21.17799905
5051,79.5858721,44.73820032
5055,59.89819528,25.90843023
5059,44.99098213,25.02890173
5079,33.68142095,12.28666399
5086,35.13937966,19.60784314
5088,16.30029463,9.462277374
5091,41.2191582,23.34301558
5093,57.19757643,33.93240867
5101,39.64959268,24.26624381
5107,73.11854402,43.6955525
5113,68.559474,27.57955641
5120,72.07099921,61.25238398
5125,73.90747559,30.62068966
5129,18.24740039,10.29578191
5134,64.26372226,100
5138,61.10124334,32.97357648
5142,49.45643084,19.35135135
5145,36.52392947,21.04848246
5147,57.91250788,36.74491869
5148,35.39041717,8.425756962
5150,27.95477903,16.41388608
5154,49.49936629,48.55096919
5172,58.17852523,34.88484746
5190,34.66237942,21.19806581
5197,62.07553975,21.14989733
5206,51.70660857,12.02303816
5209,49.64493854,27.48177794
5212,20.89686099,7.056900019
5234,72.86267099,37.2101488
5237,23.98030365,13.74998866
5240,48.2443974,19.93339677
5250,63.78077222,40.41430065
5264,23.37581598,6.978628075
5266,9.154323189,5.207109246
5282,31.61144648,18.39080659
5284,54.44223548,16.25139655
5306,53.85749386,32.38731219
5308,22.28006247,7.666936792
5310,41.39172862,12.20274332
5313,46.03302208,20.6454918
5315,59.8961132,28.52386238
5318,35.9169859,9.374642254
5321,26.55095377,10.13314534
5347,44.98488991,30.81873436
5353,41.65289256,23.5003296
5360,12.29830063,7.531951645
5361,75.38506782,28.06321538
5364,35.47993395,15.60273375
5368,29.79679686,24.82960078
5376,20.45237694,12.22841514
5380,18.58161959,8.27631223
5390,43.7,38.43183345
5400,28.45425447,11.89797498
5411,41.46962146,16.12021858
5425,48.48249027,21.36021873
5440,29.39243231,9.081000452
5467,45.02794597,24.10489158
5475,99.91356958,98.23468328
5480,69.59672037,43.23570432
5483,50.03312965,24.94920764
5490,83.27337489,46.9570386
5495,66.87526517,62.35104975
5501,51.66931638,58.41924399
5541,32.92553191,10.18294959
5543,81.22569398,36.26302083
5576,38.80580603,23.39166872
5579,42.40567214,36.96169944
5585,49.47392673,30.64189072
5591,46.19671793,48.79808521
5604,53.34207937,36.99082569
5607,25.94261679,10.02243481
5615,17.57076317,7.792477952
5628,62.54565129,42.73504274
5631,10.78769585,4.835770723
5642,46.06637807,32.64761905
5647,54.90316254,30.36822507
5649,53.60449896,27.66310358
5652,76.57230512,41.46772768
5656,39.68616855,17.13319644
5658,30.17928287,22.9579507
5659,89.27387579,57.33154549
5660,58.24738271,18.51851852
5664,30.57708872,11.20041907
5665,84.36611221,70.12881117
5667,57.78035352,24.31832594
5670,53.82946771,27.61321076
5674,56.27227723,20.34971712
5679,36.99796145,19.40714876
5686,28.78127936,10.55452868
5690,42.40532667,17.79981114
5697,31.72142436,15.55508193
5736,52.83620374,35.49451461
5756,34.93236505,19.51329192
5761,41.47304619,20.10653333
5789,33.56862745,21.44095854
5790,70.39395963,62.01567721
5792,46.31858684,36.90025253
5809,40.76409496,18.83761682
5819,70.00395205,26.93911593
5837,70.11762903,57.4914502
5842,75.53630913,37.1909001
5847,58.8005997,27.39347996
5854,65.18981524,42.98174442
5856,40.50849529,22.20143436
5858,60.73384447,28.97334072
5861,36.33563639,26.80110587
5873,94.70180305,56.09051517
5885,61.1498487,20.66848568
5887,39.9787944,25.24689116
5890,43.53982301,22.1849866
5893,70.64188804,45.01604474
5895,68.86083132,45.73880897
8001,27.75786008,17.70061967
8078,31.05552474,25.81084436
8137,62.12078783,63.61413376
8141,75.85603113,84.98833901
8296,35.10934629,37.57436307
8372,39.10505837,27.84879278
8421,52.31964484,56.45564592
8433,35.89087572,31.77464506
8436,69.22572178,55.44743364
8520,53.68388237,37.27433799
8549,44.08805031,53.49897469
8558,41.07943339,31.60727381
8560,52.68145596,48.00474119
8573,35.50500382,25.53477048
8606,61.12857852,58.11228654
8634,42.65804175,40.11322183
8638,36.18189774,36.67014224
8675,67.66577361,60.65711491
8685,48.01232359,32.99805702
8758,23.00918788,23.98891504
8770,61.41624579,55.97839123
8832,41.91629488,32.11411634
8849,50.12,42.03965505
11001,17.2809718,9.14085584
13001,33.07495246,25.43010704
13006,89.16241699,53.36249097
13030,84.2,51.61405386
13042,90,47.36714976
13052,61.07191185,61.41681666
13062,63.5,70.22886325
13074,79.39576401,59.01898734
13140,63.19700797,71.19624007
13160,83.7,35.12320332
13188,75.7,56.37433455
13212,83.98811062,57.89001793
13222,64.8,75.02795009
13244,72.65335579,96.18598325
13248,74.24166458,63.93442623
13268,84.2,60.94996374
13300,84.4,73.60146252
13430,64.31990603,49.15185718
13433,66.9400391,66.3927104
13440,84.76225671,79.67781908
13442,70.46153002,61.59553615
13458,89.6,55.68010936
13468,52.30233897,32.90818977
13473,86.11123621,54.06216506
13549,84.02551036,64.12429379
13580,94.3,69.97375328
13600,90.04337312,66.5235369
13620,46.5,48.5303061
13647,65.57446508,59.19031267
13650,83.89269034,44.84272129
13654,92.54334778,95.34940815
13655,89.6,96.95193435
13657,61.71265217,70.02249012
13667,80.76962863,54.50279777
13670,77.07130933,62.29465131
13673,69.96513811,51.26537458
13683,94.72422062,99.27658246
13688,77.83471536,37.59338325
13744,80.47002046,42.47840334
13760,57.32132717,53.08160255
13780,74.32848349,59.12838634
13810,85.5,75.58320373
13836,43.28837508,49.86998402
13838,85.33925297,64.04354779
13873,77.81917725,88.29540965
13894,67.15213358,58.172284
15001,19.3939451,10.78803421
15022,46.86847599,8.19112628
15047,53.00053422,24.22922836
15051,40.63375728,11.66477916
15087,41.99262584,13.70397464
15090,64.89533011,18.9701897
15092,57.07746479,36.31284916
15097,51.33468736,20.93606352
15104,53.79310345,14.18439716
15106,54.05884438,24.76190476
15109,58.3826795,17.71978022
15114,50,20.96219931
15131,43.67198003,27.00421941
15135,55.84415584,16.54040404
15162,33.8022508,11.6089613
15172,31.31701952,18.04707934
15176,28.16905106,14.39057479
15180,59.13341646,30.28747433
15183,69.66340621,29.70852018
15185,62.15139442,19.39163498
15187,43.23496659,11.97854589
15189,43.3271719,23.87096774
15204,38.2904533,24.15458937
15212,58.97237782,13.32378224
15215,39.4897182,17.88036411
15218,73.30716389,28.66666667
15223,78.4107946,20.34503272
15224,49.11932523,33.56598985
15226,34.62365591,49.72067039
15232,60.1116359,81.81818182
15236,46.33747547,15.36842105
15238,16.57644678,7.463429428
15244,58.00031343,27.25090036
